0	0.262877 0.398567 0.330095 0.298042 0.43674 0.372508 0.17389 0.292208 0.303149 0.330223 0.237088 0.223918 0.264772 0.304026 0.252802 0.36152 0.371697 0.351663 0.207788 0.361414 0.292181 0.178337 0.257425 0.469356 0.24583 0.293056 0.369697 0.384041 0.438511 0.191092 0.173361 0.232302 0.254606 0.246496 0.17677 0.334048 0.159156 0.218813 0.395163 0.192644 0.233513 0.207747 0.246707 0.173448 0.252604 0.321626 0.206641 0.250022 0.298149 0.314468 0.217012 0.213201 0.282929 0.244332 0.312247 0.124877 0.27524 0.406904 0.176278 0.226831 0.276309 0.201448 0.273498 0.253123 0.225321 0.0858817 0.323211 0.236622 0.236885 0.23824 0.198605 0.56712 0.197807 0.319221 0.143464 0.237225 0.605727 0.179612 0.291081 0.38744 0.17691 0.327508 0.276032 0.175856 0.242143 0.230426 0.22429 0.147819 0.19301 0.286756 0.248368 0.200773 0.263311 0.203065 0.273631 0.298715 0.170552 0.212761 0.223438 0.120931 0.163505 0.273422 0.151818 0.48844 0.396648 0.29212 0.309982 0.336604 0.303643 0.275502 0.191259 0.197629 0.219938 0.157792 0.300041 0.186272 0.311547 0.397126 0.283888 0.228397 0.133463 0.253671 0.295905 0.268677 0.258704 0.253593 0.367017 0.15601 0.361971 0.342517 0.183202 0.338519 0.175325 0.29493 0.23319 0.359595 0.301794 0.439268 0.260812 0.365106 0.368273 0.345687 0.341457 0.216977 0.186069 0.298926 0.244542 0.271489 0.323197 0.256364 0.237203 0.219329 0.18676 0.160846 0.324579 0.481901 0.134418 0.396926 0.176016 0.211871 0.301186 0.298525 0.287898 0.362164 0.352172 0.325173 0.219626 0.302198 0.249126 0.206901 0.208617 0.318946 0.183607 0.0844618 
0.1	0.448536 0.533215 0.421374 0.464492 0.504474 0.518893 0.274749 0.414042 0.382678 0.369631 0.372353 0.385484 0.360438 0.31968 0.34829 0.449195 0.474709 0.32904 0.244851 0.533825 0.356951 0.165538 0.243316 0.578969 0.293417 0.334663 0.396151 0.417505 0.46243 0.22267 0.157478 0.266539 0.287636 0.171434 0.16677 0.360468 0.0957764 0.201491 0.561368 0.1702 0.232498 0.203929 0.271292 0.146376 0.340754 0.31961 0.175436 0.270887 0.415146 0.346663 0.232331 0.156003 0.21545 0.251451 0.322837 0.053191 0.308291 0.437444 0.13787 0.232823 0.250152 0.221104 0.288086 0.271389 0.212211 0.0214141 0.326366 0.237187 0.263715 0.281836 0.209763 0.631306 0.204868 0.388792 0.102971 0.256134 0.693045 0.199493 0.349845 0.433453 0.169143 0.325487 0.303675 0.133932 0.249967 0.251527 0.257811 0.112778 0.158768 0.318911 0.274311 0.218673 0.26729 0.162519 0.436906 0.317551 0.121315 0.207276 0.204216 0.0494557 0.150701 0.362163 0.108239 0.523142 0.401848 0.261228 0.301971 0.431001 0.378281 0.306949 0.194947 0.236946 0.181625 0.115355 0.295474 0.147952 0.291976 0.553232 0.198959 0.191397 0.109523 0.340442 0.431322 0.236463 0.257145 0.2347 0.467825 0.113141 0.362245 0.315934 0.181512 0.459858 0.148674 0.321986 0.208679 0.304575 0.332102 0.565443 0.235553 0.393249 0.415832 0.382806 0.379004 0.18635 0.211788 0.435648 0.263837 0.275032 0.272474 0.427996 0.277592 0.211674 0.129192 0.0894199 0.365801 0.57362 0.141893 0.508829 0.379369 0.251564 0.443837 0.37313 0.423622 0.499311 0.392336 0.401032 0.312013 0.461745 0.382217 0.237836 0.384723 0.486695 0.386907 0.109973 
0.2	0.465864 0.52083 0.444455 0.488618 0.527955 0.548409 0.29869 0.431565 0.420013 0.356609 0.360822 0.411299 0.387513 0.367434 0.373008 0.454366 0.508933 0.339929 0.249918 0.549052 0.373528 0.175986 0.231686 0.602311 0.312555 0.383477 0.438213 0.438751 0.490274 0.243061 0.146363 0.280208 0.336441 0.136182 0.184 0.37442 0.124584 0.21946 0.574756 0.167373 0.234107 0.214315 0.281579 0.143527 0.389307 0.301476 0.180474 0.238112 0.448649 0.400593 0.233354 0.142741 0.286177 0.24739 0.308703 0.0502961 0.289465 0.557377 0.130859 0.2168 0.280162 0.203091 0.23062 0.236112 0.167526 0.306621 0.312536 0.295174 0.279958 0.213392 0.444157 0.322443 0.392554 0.165704 0.157567 0.550071 0.314513 0.291074 0.482128 0.283874 0.358771 0.318946 0.128205 0.162007 0.212186 0.23411 0.121527 0.112856 0.360441 0.334328 0.17901 0.229263 0.190305 0.439481 0.319517 0.156626 0.1727 0.189281 0.0510121 0.127344 0.363156 0.137822 0.393136 0.419577 0.291575 0.281405 0.510732 0.426613 0.305099 0.205446 0.318923 0.164257 0.0760282 0.289326 0.176684 0.221599 0.554001 0.262601 0.197607 0.116246 0.302538 0.424188 0.233094 0.239594 0.203583 0.449032 0.137631 0.309179 0.335796 0.194617 0.418985 0.147749 0.284012 0.227994 0.285675 0.389914 0.517017 0.310646 0.364455 0.469028 0.40945 0.35239 0.202637 0.263035 0.39126 0.368562 0.285931 0.20118 0.442568 0.276531 0.238815 0.148694 0.0910151 0.262421 0.532807 0.30474 0.437473 0.508671 0.260529 0.382354 0.377964 0.421593 0.508023 0.375944 0.477883 0.434158 0.436177 0.42791 0.322391 0.359395 0.477072 0.470942 0.163052 
0.3	0.473372 0.538761 0.451812 0.501032 0.538765 0.56183 0.312136 0.441824 0.432635 0.366315 0.401227 0.423281 0.397202 0.386061 0.382067 0.469485 0.525034 0.328574 0.240957 0.559527 0.373237 0.189751 0.300133 0.61345 0.316342 0.40252 0.456175 0.446828 0.504119 0.239935 0.142336 0.275218 0.35642 0.13983 0.183961 0.375885 0.13278 0.211451 0.582442 0.157787 0.192839 0.202941 0.269652 0.144003 0.407516 0.326828 0.146431 0.230267 0.461316 0.427261 0.209104 0.0905642 0.269947 0.238351 0.299241 0.0440178 0.307176 0.527126 0.114214 0.199801 0.244718 0.197788 0.247508 0.258421 0.169773 0.277738 0.296095 0.274219 0.244513 0.214587 0.363 0.503065 0.377994 0.28121 0.124191 0.471949 0.498018 0.19622 0.403072 0.343235 0.295407 0.308862 0.208437 0.151155 0.204943 0.228021 0.189181 0.0819189 0.337974 0.354926 0.196277 0.131407 0.228621 0.39692 0.304462 0.227846 0.106436 0.170225 0.156413 0.0771647 0.280802 0.199594 0.222391 0.412571 0.300122 0.222146 0.459013 0.446223 0.293098 0.257561 0.306867 0.083667 0.119092 0.235763 0.239939 0.176324 0.511995 0.340677 0.191986 0.171067 0.291539 0.433601 0.222735 0.196983 0.189955 0.399105 0.248994 0.248808 0.348985 0.300136 0.359275 0.29231 0.219193 0.236336 0.276183 0.45234 0.469027 0.359764 0.313781 0.442816 0.413007 0.425139 0.284209 0.321936 0.350163 0.383586 0.290338 0.143913 0.502085 0.272948 0.254015 0.173926 0.112944 0.215287 0.462188 0.536422 0.34736 0.559874 0.251991 0.404571 0.419144 0.460682 0.477939 0.398634 0.471437 0.440123 0.41629 0.450239 0.345973 0.400684 0.471413 0.515251 0.268636 
0.4	0.477912 0.542231 0.455849 0.507931 0.542969 0.57051 0.321304 0.4605 0.440233 0.378666 0.38035 0.428717 0.404365 0.400021 0.394543 0.450873 0.532976 0.334143 0.262366 0.559727 0.382764 0.18116 0.322451 0.616299 0.32087 0.412759 0.471481 0.455242 0.508187 0.247848 0.141171 0.287303 0.361449 0.172808 0.168559 0.387221 0.134941 0.222152 0.586425 0.158763 0.246282 0.214837 0.277774 0.143771 0.383361 0.330589 0.146258 0.229186 0.461053 0.462543 0.213907 0.0858141 0.313796 0.239472 0.313289 0.0481249 0.327873 0.514432 0.0997186 0.190799 0.266186 0.207651 0.22116 0.274337 0.167787 0.279737 0.27982 0.293235 0.248501 0.210619 0.35408 0.519315 0.395307 0.281369 0.0669683 0.468695 0.516928 0.155845 0.390011 0.336065 0.295382 0.299429 0.23454 0.110376 0.212308 0.227666 0.187923 0.0826667 0.347792 0.369335 0.23556 0.120854 0.245831 0.392768 0.316071 0.223408 0.104247 0.202822 0.156076 0.0689896 0.270196 0.200781 0.213498 0.387187 0.317137 0.207585 0.445707 0.456541 0.303107 0.255209 0.297281 0.0132384 0.140069 0.244935 0.239256 0.196121 0.505624 0.385336 0.213236 0.176598 0.293413 0.441562 0.237096 0.198188 0.196018 0.40114 0.273918 0.255511 0.364615 0.30453 0.352549 0.26204 0.21455 0.232444 0.323453 0.458982 0.464889 0.456436 0.331588 0.450874 0.414898 0.439159 0.294826 0.3111 0.354711 0.387024 0.309704 0.163288 0.513809 0.283942 0.265699 0.183518 0.170197 0.219383 0.467263 0.551457 0.345339 0.563189 0.263056 0.414119 0.433537 0.476474 0.47614 0.392298 0.473939 0.401397 0.422602 0.459679 0.336602 0.404901 0.461546 0.515851 0.266529 
0.5	0.475084 0.537136 0.453038 0.483575 0.541202 0.569213 0.32863 0.459137 0.43162 0.341931 0.36189 0.433165 0.409778 0.385857 0.398284 0.441962 0.534435 0.387425 0.28984 0.559626 0.392677 0.206572 0.289975 0.6168 0.318763 0.409003 0.46704 0.461725 0.515656 0.253083 0.126623 0.288626 0.357928 0.176628 0.192836 0.398175 0.109749 0.231522 0.588117 0.1685 0.264926 0.223969 0.284541 0.134629 0.377254 0.271918 0.15856 0.216678 0.459846 0.451311 0.228313 0.0572341 0.300933 0.243371 0.317999 0.055428 0.347228 0.517286 0.0966189 0.184391 0.33688 0.215988 0.225065 0.285221 0.161866 0.281953 0.258107 0.301431 0.260402 0.206997 0.355188 0.543903 0.401949 0.275341 0.0614183 0.469535 0.529734 0.149541 0.387317 0.303063 0.290192 0.292953 0.249019 0.0975349 0.210634 0.218831 0.16855 0.0660023 0.35145 0.37321 0.25624 0.120465 0.25371 0.391731 0.320245 0.226051 0.0982761 0.210436 0.169688 0.0621974 0.265984 0.195371 0.203867 0.370356 0.27816 0.242564 0.438713 0.44528 0.301314 0.238564 0.282324 0.197127 0.285714 0.0713381 0.340546 0.391112 0.32513 0.303534 0.248771 0.364407 0.318649 0.294106 0.260271 0.215837 0.39753 0.216807 0.112613 0.36665 0.383231 0.483283 0.0834222 0.185306 0.186196 0.395055 0.431181 0.553552 0.377176 0.481655 0.350592 0.427963 0.436854 0.324269 0.354543 0.379217 0.279481 0.347044 0.168037 0.468736 0.356881 0.28255 0.203676 0.249493 0.253284 0.315765 0.428258 0.585508 0.361768 0.478025 0.38457 0.319074 0.4729 0.490224 0.346342 0.483336 0.456837 0.486393 0.401466 0.391667 0.43828 0.393392 0.496956 0.390794 
0.6	0.477474 0.543456 0.456355 0.496902 0.550869 0.575424 0.337719 0.463151 0.441566 0.369055 0.37038 0.437848 0.415448 0.406752 0.404134 0.448466 0.54004 0.420528 0.325553 0.541039 0.403919 0.203278 0.23788 0.620291 0.32498 0.417464 0.480544 0.478404 0.551166 0.259098 0.158825 0.300462 0.364111 0.216297 0.240791 0.420868 0.109726 0.236066 0.589346 0.189575 0.308173 0.226713 0.292478 0.0939391 0.381173 0.317804 0.208871 0.198468 0.462441 0.460816 0.245044 0.0903561 0.354915 0.254384 0.311205 0.0664086 0.364344 0.53008 0.104371 0.203388 0.360857 0.219868 0.250165 0.285259 0.1586 0.296277 0.267804 0.305462 0.270218 0.210194 0.362673 0.510213 0.407225 0.274424 0.0576819 0.471019 0.528148 0.145964 0.396551 0.288436 0.30215 0.287365 0.249412 0.0504128 0.214093 0.215132 0.172771 0.0298892 0.358763 0.387488 0.270501 0.0804602 0.27829 0.393315 0.324862 0.232551 0.0829019 0.219909 0.18763 0.0541913 0.268591 0.209929 0.21538 0.303492 0.29709 0.23077 0.44512 0.463529 0.274754 0.236469 0.29513 0.235916 0.302941 0.0409864 0.369006 0.394729 0.338221 0.263905 0.210828 0.382157 0.325763 0.304995 0.292922 0.145542 0.412273 0.184378 0.138645 0.397675 0.398912 0.492465 0.0611818 0.17194 0.20185 0.381067 0.451876 0.558445 0.336492 0.503036 0.367917 0.437181 0.448973 0.362181 0.409981 0.38728 0.304591 0.37193 0.228729 0.471362 0.349153 0.320544 0.263597 0.22879 0.273636 0.323947 0.430099 0.630097 0.358712 0.503978 0.380645 0.330667 0.476965 0.497438 0.329607 0.505654 0.443313 0.50981 0.405656 0.395612 0.450726 0.365138 0.498756 0.462844 
0.7	0.477933 0.54552 0.454159 0.488015 0.545221 0.575301 0.33918 0.465598 0.43571 0.356832 0.368211 0.437238 0.419277 0.390377 0.409289 0.449992 0.541066 0.403453 0.292452 0.547342 0.415412 0.213591 0.207182 0.618771 0.327708 0.414971 0.473788 0.485737 0.53963 0.265471 0.205038 0.298037 0.360853 0.192319 0.246478 0.410393 0.089937 0.247455 0.586364 0.190911 0.272686 0.235576 0.293563 0.0936649 0.374897 0.369766 0.197265 0.212556 0.46193 0.455052 0.23587 0.0135553 0.367391 0.25535 0.334254 0.0650858 0.360991 0.534571 0.102347 0.19417 0.372314 0.220357 0.224927 0.292499 0.161908 0.306754 0.27045 0.315017 0.259562 0.213794 0.372703 0.511625 0.376394 0.285751 0.0952646 0.47389 0.528914 0.143532 0.405755 0.357111 0.310598 0.28448 0.252362 0.025865 0.216004 0.203701 0.136794 0.0370034 0.357867 0.407161 0.268213 0.0768773 0.279627 0.39634 0.329473 0.225869 0.0730291 0.218045 0.189562 0.0455534 0.273303 0.203109 0.223405 0.277151 0.306501 0.255919 0.450624 0.457285 0.238562 0.209594 0.300674 0.239783 0.304125 0.0396208 0.349301 0.398282 0.324881 0.272975 0.216666 0.387855 0.323017 0.273565 0.332197 0.0986859 0.418563 0.200682 0.15635 0.36946 0.424481 0.496974 0.00206476 0.171864 0.22365 0.370251 0.450939 0.560875 0.365336 0.489863 0.35189 0.433097 0.451351 0.374979 0.409784 0.383619 0.296737 0.375243 0.281145 0.47652 0.362835 0.325955 0.267812 0.265844 0.27332 0.320045 0.432896 0.630386 0.360421 0.509625 0.382247 0.335496 0.480938 0.494435 0.34564 0.512206 0.456514 0.517098 0.409272 0.399719 0.455727 0.372137 0.499877 0.462793 
0.8	0.479223 0.551125 0.455536 0.493307 0.551845 0.579215 0.343662 0.469699 0.44148 0.407055 0.377614 0.442098 0.423865 0.402146 0.415513 0.456724 0.545593 0.425181 0.287179 0.553454 0.427259 0.221435 0.174813 0.622577 0.333568 0.421273 0.483863 0.494648 0.546276 0.273207 0.248015 0.303989 0.367676 0.199104 0.24473 0.426252 0.121943 0.257322 0.58748 0.2135 0.278589 0.243899 0.300418 0.0532778 0.383132 0.391641 0.138784 0.235139 0.466137 0.466072 0.242828 0.0308117 0.376328 0.273873 0.346209 0.075528 0.375708 0.537237 0.0798532 0.18994 0.393513 0.22739 0.234393 0.298158 0.168483 0.311463 0.26983 0.340357 0.278767 0.224475 0.377455 0.503213 0.392141 0.294018 0.111799 0.474891 0.540357 0.123036 0.40152 0.385355 0.305466 0.267546 0.307068 0.00696702 0.232679 0.194507 0.145623 0.0507837 0.367556 0.437243 0.300392 0.263226 0.442912 0.264219 0.250212 0.123509 0.210904 0.199423 0.0753359 0.222461 0.133245 0.334075 0.0669649 0.432901 0.373843 0.428043 0.462958 0.23802 0.194418 0.365239 0.234597 0.293593 0.0604253 0.273193 0.493198 0.24959 0.258805 0.359733 0.438126 0.421928 0.196509 0.40552 0.166609 0.40418 0.171587 0.342945 0.281116 0.260973 0.503049 0.214965 0.310196 0.275629 0.392953 0.403734 0.438296 0.477958 0.407563 0.49923 0.36723 0.396287 0.445924 0.505004 0.438856 0.294255 0.233015 0.506709 0.298929 0.323475 0.344198 0.307823 0.328275 0.385393 0.313165 0.434557 0.525344 0.540381 0.35555 0.475505 0.403499 0.48949 0.359449 0.460841 0.419726 0.531394 0.505365 0.415639 0.430042 0.419209 0.43808 0.369777 
0.9	0.480676 0.553629 0.455604 0.495485 0.550375 0.581469 0.348453 0.473513 0.442397 0.408974 0.378019 0.44679 0.428511 0.401759 0.422225 0.460843 0.548232 0.413873 0.280692 0.557376 0.43813 0.220008 0.239989 0.624057 0.3395 0.423563 0.485696 0.502556 0.552854 0.280824 0.225319 0.308985 0.36911 0.243329 0.236566 0.430479 0.157966 0.265686 0.588386 0.211864 0.283228 0.251126 0.307488 0.0742349 0.383296 0.411506 0.0999647 0.233753 0.467771 0.462039 0.251759 0.0710436 0.386806 0.284124 0.355718 0.0967704 0.380138 0.542879 0.0629891 0.180594 0.377072 0.233684 0.251717 0.299653 0.167167 0.320331 0.233233 0.342484 0.354229 0.237145 0.384063 0.494016 0.39616 0.279389 0.0615518 0.477035 0.542576 0.112262 0.415213 0.376606 0.316736 0.26987 0.303468 0.00660858 0.246017 0.183126 0.148726 0.0668149 0.370458 0.442606 0.29304 0.25444 0.447383 0.258117 0.238104 0.1993 0.194213 0.207361 0.120834 0.225514 0.0913208 0.359667 0.0771397 0.452807 0.381565 0.442392 0.461011 0.263879 0.23063 0.386843 0.234765 0.28903 0.0968031 0.23747 0.504183 0.227832 0.272577 0.419456 0.450498 0.427346 0.173796 0.380897 0.166503 0.421158 0.168089 0.362057 0.250435 0.311995 0.51386 0.205241 0.323771 0.266747 0.381608 0.402412 0.417098 0.475318 0.399404 0.49896 0.373436 0.398156 0.443472 0.505084 0.445143 0.310314 0.227338 0.506946 0.304452 0.347451 0.356958 0.303922 0.325519 0.391617 0.31281 0.430268 0.521458 0.572739 0.344601 0.499851 0.409152 0.496731 0.36284 0.479181 0.413796 0.550541 0.528368 0.423298 0.438321 0.418038 0.441455 0.367093 
