0	0.384101 0.324114 0.281013 0.260812 0.364507 0.311937 0.22909 0.209299 0.256213 0.281558 0.24576 0.415919 0.307239 0.288149 
0.1	0.45456 0.434974 0.321558 0.316292 0.480467 0.343478 0.294476 0.439873 0.329914 0.294709 0.389668 0.441221 0.349218 0.444186 
0.2	0.354685 0.471211 0.351816 0.309296 0.461441 0.349619 0.343775 0.466806 0.307105 0.227772 0.339025 0.483242 0.351897 0.460917 0.374855 0.392371 
0.3	0.415598 0.477085 0.347495 0.30411 0.471732 0.360902 0.35688 0.461805 0.310645 0.291435 0.413015 0.457026 0.334117 0.456724 0.426187 0.398291 
0.4	0.47818 0.477929 0.35151 0.248219 0.459411 0.330708 0.371959 0.473203 0.317306 0.320525 0.42063 0.4532 0.233143 0.452017 0.420114 0.420735 0.427068 
0.5	0.386824 0.452471 0.312525 0.251839 0.453804 0.38309 0.340679 0.475911 0.278987 0.275555 0.390594 0.435712 0.33853 0.443133 0.411887 0.421647 0.430369 0.400359 0.430547 0.385273 0.44697 
0.6	0.382985 0.464861 0.334489 0.245992 0.473461 0.340145 0.354444 0.478748 0.307127 0.255665 0.403355 0.450027 0.253467 0.376419 0.41907 0.401772 0.414043 0.413568 0.443028 0.414698 0.457133 0.372182 
0.7	0.331643 0.426019 0.291952 0.220197 0.476217 0.314587 0.312114 0.442086 0.249784 0.194734 0.401744 0.41062 0.284087 0.419238 0.415187 0.393164 0.425094 0.391643 0.433104 0.377611 0.446466 0.418692 0.371151 0.455234 0.429639 0.414948 0.361583 
0.8	0.310767 0.451275 0.300971 0.325233 0.478239 0.311836 0.326908 0.45842 0.266772 0.301928 0.400695 0.442864 0.327364 0.403319 0.423861 0.418877 0.434465 0.407425 0.45095 0.41369 0.451415 0.429019 0.376128 0.468441 0.436964 0.456181 0.359188 
0.9	0.277296 0.408156 0.258446 0.343947 0.481184 0.336143 0.357419 0.475951 0.256331 0.346135 0.403876 0.385839 0.344984 0.384562 0.419835 0.406315 0.434558 0.398427 0.44513 0.396422 0.451217 0.4317 0.350901 0.469155 0.435058 0.432832 0.365624 0.411502 0.401398 
1	0.258209 0.417077 0.272782 0.318216 0.450932 0.323811 0.357576 0.475105 0.29372 0.354243 0.405645 0.396194 0.363446 0.400316 0.421275 0.409196 0.437721 0.399768 0.448492 0.405962 0.455666 0.439065 0.388616 0.469291 0.444008 0.441878 0.36196 0.425154 0.431854 0.425866 
1.1	0.245205 0.391983 0.237115 0.335563 0.466219 0.315001 0.297292 0.453945 0.236299 0.356234 0.407049 0.374325 0.365028 0.399379 0.416498 0.410113 0.441242 0.386188 0.448665 0.407512 0.455775 0.441076 0.36209 0.458719 0.443328 0.442199 0.365284 0.416791 0.422371 0.438755 0.447065 0.392309 0.358882 
1.2	0.273578 0.370421 0.314808 0.348065 0.471002 0.310903 0.291037 0.464674 0.292209 0.349522 0.410883 0.356057 0.379624 0.408855 0.419032 0.412654 0.443689 0.392306 0.450449 0.409316 0.456906 0.445635 0.374004 0.449077 0.44669 0.448145 0.365885 0.425736 0.436393 0.440875 0.469903 0.406117 0.379845 
1.3	0.332674 0.371525 0.354253 0.365983 0.455839 0.325557 0.280159 0.466799 0.33501 0.359993 0.407856 0.354292 0.387516 0.413217 0.42122 0.411127 0.44692 0.394606 0.453888 0.394921 0.459035 0.449041 0.376721 0.453172 0.449863 0.454226 0.363758 0.429689 0.443811 0.460613 0.476903 0.407541 0.38739 0.416076 
1.4	0.345985 0.379965 0.361393 0.37765 0.466123 0.345738 0.268587 0.415546 0.340685 0.368863 0.41212 0.364318 0.397824 0.41944 0.423681 0.415311 0.44642 0.397815 0.453635 0.399886 0.460255 0.449732 0.38191 0.450397 0.451773 0.45344 0.369837 0.433077 0.445692 0.445041 0.460781 0.412999 0.397714 0.464696 0.43446 
1.5	0.353895 0.386782 0.354154 0.386103 0.468145 0.326496 0.289112 0.428214 0.342051 0.378108 0.417636 0.367941 0.405309 0.424979 0.427038 0.42077 0.449994 0.402145 0.454737 0.407337 0.461101 0.453921 0.387727 0.45521 0.453507 0.456384 0.379352 0.43651 0.450882 0.437486 0.471518 0.418766 0.405831 0.392513 0.453951 0.402783 
1.6	0.338117 0.386596 0.305615 0.381699 0.46975 0.349365 0.257222 0.389792 0.295259 0.380283 0.419175 0.37767 0.406911 0.429066 0.430216 0.423879 0.454152 0.405402 0.455584 0.412333 0.462494 0.458059 0.390604 0.456463 0.45592 0.456673 0.388964 0.440127 0.450078 0.449647 0.468569 0.422478 0.408824 0.446451 0.441266 0.471172 0.406098 
1.7	0.353916 0.389675 0.324708 0.387215 0.4726 0.327658 0.294406 0.413064 0.309839 0.389506 0.424465 0.383683 0.408341 0.430533 0.406844 0.430414 0.457274 0.428167 0.456077 0.42076 0.463108 0.460064 0.398274 0.458141 0.457005 0.458216 0.399191 0.439866 0.454122 0.453357 0.47197 0.421239 0.415077 0.435501 0.450498 0.387644 0.423959 0.39568 
1.8	0.365262 0.393604 0.34258 0.393452 0.473784 0.402782 0.338211 0.360769 0.342768 0.396654 0.426786 0.384062 0.413548 0.43438 0.42733 0.433129 0.460581 0.421727 0.456613 0.424061 0.463681 0.46304 0.400798 0.460369 0.457863 0.456012 0.403969 0.442643 0.443546 0.458123 0.474045 0.423775 0.426079 0.45253 0.451323 0.442623 0.419691 0.414346 0.380138 
