0	0	
0.1	0	
0.2	1	72	-0.61744	2.06613	
0.3	0	
0.4	0	
0.5	1	120	0.596126	-0.843271	
0.6	0	
0.7	0	
0.8	2	142	0.548021	0.277882	100	0.432343	0.195625	
0.9	0	
1	0	
1.1	1	92	0.121626	0.240855	
1.2	0	
1.3	0	
1.4	0	
1.5	0	
1.6	0	
1.7	0	
1.8	0	
1.9	0	
2	0	
2.1	0	
2.2	0	
2.3	0	
2.4	0	
2.5	0	
2.6	0	
2.7	0	
2.8	0	
2.9	0	
3	0	
3.1	0	
3.2	0	
3.3	0	
3.4	0	
3.5	0	
3.6	0	
3.7	0	
3.8	0	
3.9	0	
4	0	
4.1	0	
4.2	0	
4.3	0	
4.4	0	
4.5	0	
4.6	0	
4.7	0	
4.8	0	
4.9	0	
5	0	
5.1	0	
5.2	0	
5.3	0	
5.4	0	
5.5	0	
5.6	0	
5.7	0	
5.8	0	
5.9	0	
6	8	214	-4.17588	-0.312832	220	5.07648	-0.144798	219	2.85395	-4.49333	213	-3.35046	4.96401	216	-1.43613	6.07209	215	-1.61888	-4.31812	218	4.68855	2.3311	217	0.720889	-5.9835	
6.1	0	
6.2	0	
6.3	0	
6.4	0	
6.5	0	
6.6	0	
6.7	0	
6.8	0	
6.9	0	
