0	50.9488 4.15971 0 46.7891
0.1	57.9791 5.3346 0 52.6445
0.2	59.9774 6.04584 0 53.9315
0.3	60.8832 6.28305 0 54.6001
0.4	62.0721 6.65586 0 55.4162
0.5	63.7071 8.14671 0 55.5604
0.6	65.2803 8.45668 0 56.8237
0.7	66.9603 10.1085 0 56.8517
0.8	68.536 10.6332 0 57.9028
0.9	69.9966 11.3103 0 58.6862
1	71.5058 11.893 0 59.6128
1.1	73.0274 12.8355 0 60.1919
1.2	74.5426 13.1143 0 61.4283
1.3	75.9936 13.7612 0 62.2324
1.4	77.496 14.3128 0 63.1832
1.5	78.9426 14.8084 0 64.1342
1.6	80.3001 15.242 0 65.0581
1.7	81.6107 15.7521 0 65.8586
1.8	82.8715 16.4267 0 66.4448
1.9	84.0933 16.7598 0 67.3336
2	85.2839 17.015 0 68.2689
2.1	86.3965 17.259 0 69.1376
2.2	87.3997 17.4697 0 69.9299
2.3	88.2839 17.6618 0 70.6221
2.4	89.0641 17.8225 0 71.2416
2.5	89.7445 17.9557 0 71.7888
2.6	90.3386 18.0677 0 72.2709
2.7	90.8584 18.1623 0 72.6961
2.8	91.3151 18.2422 0 73.0729
2.9	91.7182 18.3098 0 73.4084
3	92.0762 18.3671 0 73.709
3.1	92.3959 18.4158 0 73.9801
3.2	92.6787 18.4531 0 74.2256
3.3	92.9361 18.4909 0 74.4452
3.4	93.1731 18.5219 0 74.6511
3.5	93.3907 18.5485 0 74.8422
3.6	93.5916 18.5716 0 75.02
3.7	93.7778 18.5917 0 75.1861
3.8	93.9513 18.6093 0 75.342
3.9	94.1136 18.6248 0 75.4888
4	94.2659 18.6385 0 75.6274
4.1	94.4093 18.6507 0 75.7587
4.2	94.5447 18.6616 0 75.8831
4.3	94.6727 18.6714 0 76.0013
4.4	94.7939 18.6803 0 76.1136
4.5	94.9088 18.6884 0 76.2204
4.6	95.0176 18.6958 0 76.3219
4.7	95.1208 18.7026 0 76.4182
4.8	95.2183 18.709 0 76.5094
4.9	95.3104 18.7149 0 76.5955
5	95.397 18.7205 0 76.6766
5.1	95.4782 18.7257 0 76.7525
5.2	95.5539 18.7307 0 76.8231
5.3	95.6238 18.7355 0 76.8883
5.4	95.6878 18.7401 0 76.9477
5.5	95.7455 18.7446 0 77.001
5.6	95.7966 18.7489 0 77.0477
5.7	95.8405 18.7532 0 77.0873
5.8	95.8765 18.7573 0 77.1191
5.9	95.9036 18.7615 0 77.1421
6	95.4206 18.784 0 76.6366
6.1	95.4065 18.7214 0 76.6852
6.2	95.402 18.7169 0 76.6851
6.3	95.439 18.7167 0 76.7223
6.4	95.4889 18.7199 0 76.7689
6.5	95.5414 18.7248 0 76.8166
6.6	95.5594 18.7284 0 76.831
6.7	95.6223 18.7438 0 76.8785
6.8	95.6504 18.7499 0 76.9005
6.9	95.6872 18.7608 0 76.9264
