0	 24786 12470 2.55419 5.94782 50.9488
0.01	 26376 10951 2.5838 5.98577 52.6022
0.02	 28482 9920 2.62151 6.02778 54.3111
0.03	 29424 8572 2.66194 6.08263 55.9279
0.04	 28322 8356 2.70695 6.14008 57.5895
0.05	 25986 7384 2.7546 6.20549 59.3442
0.06	 25162 8160 2.81006 6.27324 60.9319
0.07	 24114 7764 2.86868 6.34919 62.5083
0.08	 22402 8835 2.93208 6.42873 64.0921
0.09	 21680 7960 2.99842 6.51181 65.7028
0.1	 20390 8415 3.06766 6.60122 67.2631
0.11	 19566 7623 3.14005 6.69189 68.8346
0.12	 18262 8227 3.21331 6.78858 70.4086
0.13	 16370 8211 3.29023 6.88831 71.9956
0.14	 15778 9047 3.36888 6.98886 73.5815
0.15	 14546 9548 3.45102 7.09382 75.1821
0.16	 13094 9059 3.53567 7.20276 76.7888
0.17	 11768 8900 3.62186 7.31226 78.4103
0.18	 11386 8635 3.70886 7.42604 80.0261
0.19	 10620 8900 3.79958 7.5424 81.66
0.2	 10026 9725 3.8931 7.65895 83.2507
0.21	 9176 9780 3.98595 7.77906 84.9007
0.22	 8168 10191 4.08207 7.89692 86.4935
0.23	 8148 10724 4.17801 8.01123 88.0242
0.24	 7270 11175 4.27503 8.1304 89.6304
0.25	 7100 10970 4.37237 8.24725 91.2008
0.26	 6484 11189 4.47277 8.37247 92.7429
0.27	 6420 11220 4.57469 8.49263 94.3082
0.28	 5504 11757 4.67663 8.61475 95.8236
0.29	 5230 11240 4.78018 8.73208 97.3009
0.3	 5054 12519 4.88375 8.84855 98.7481
0.31	 4476 12205 4.98591 8.96275 100.152
0.32	 4030 12519 5.09251 9.07272 101.49
0.33	 3846 12749 5.2018 9.19076 102.93
0.34	 3040 13595 5.31495 9.31898 104.538
0.35	 2544 14151 5.4222 9.45169 105.972
0.36	 2604 13885 5.53579 9.58193 107.626
0.37	 2324 15359 5.64913 9.71521 108.997
0.38	 2370 15359 5.76116 9.83991 110.574
0.39	 2252 15987 5.87239 9.96788 111.946
0.4	 2358 16631 5.98438 10.0859 113.415
0.41	 2080 16027 6.0962 10.2058 114.676
0.42	 1680 16071 6.20816 10.3156 116.037
0.43	 1962 16071 6.31549 10.4256 117.139
0.44	 1976 15751 6.42431 10.5301 118.388
0.45	 2296 15751 6.53059 10.6371 119.453
